Compartment,N_Samples,N_Sites,Site_DF,Residual_DF,Site_SumOfSqs,Residual_SumOfSqs,Site_R2,Residual_R2,PERMANOVA_F,PERMANOVA_P,Dispersion_F,Dispersion_P,Analysis_Status,PERMANOVA_P_Adjusted_BH,Dispersion_P_Adjusted_BH,PERMANOVA_Significant_BH,Dispersion_Significant_BH,Compartment_Label,PERMANOVA_Result,Dispersion_Result
Soil_1m,49,5,4,44,1.3674519037615962,3.316551557460612,0.29194083972875284,0.7080591602712473,4.535425028307041,1e-4,1.1154502536166322,0.3666,Success,1.4e-4,0.3666,TRUE,FALSE,Bulk soil (>1 m),Site effect: BH-adjusted p < 0.05,No significant dispersion difference
Soil_p,50,5,4,45,1.4690175460982762,3.4683603555878633,0.29752989853108047,0.7024701014689195,4.7649164732781895,1e-4,2.6030503995653778,0.0343,Success,1.4e-4,0.060024999999999995,TRUE,FALSE,Rhizosphere soil,Site effect: BH-adjusted p < 0.05,No significant dispersion difference
Root,50,5,4,45,0.954407414561496,4.739798589096141,0.16761027155470645,0.8323897284452939,2.2653037279932913,1e-4,1.6277210553344565,0.1796,Success,1.4e-4,0.20953333333333335,TRUE,FALSE,Root epiphyte,Site effect: BH-adjusted p < 0.05,No significant dispersion difference
Leaf_EN,47,5,4,42,1.5637858359961223,3.5772504706363484,0.30417716248739113,0.6958228375126088,4.590047974761582,1e-4,2.9825434529372785,0.0272,Success,1.4e-4,0.060024999999999995,TRUE,FALSE,Leaf endophyte,Site effect: BH-adjusted p < 0.05,No significant dispersion difference
Leaf_EP,48,5,4,43,1.9916798086257232,3.6924073728351683,0.35039571791258717,0.6496042820874128,5.798536234176864,1e-4,3.1972938172461998,0.0207,Success,1.4e-4,0.060024999999999995,TRUE,FALSE,Leaf epiphyte,Site effect: BH-adjusted p < 0.05,No significant dispersion difference
Fruit_EN,40,5,4,35,1.549670208866687,8.008976374647,0.16212234601700695,0.8378776539829933,1.6930521071965525,0.0216,2.241725556431172,0.0749,Success,0.025200000000000004,0.10485999999999998,TRUE,FALSE,Fruit endophyte,Site effect: BH-adjusted p < 0.05,No significant dispersion difference
Fruit_EP,45,5,4,40,1.7506602282975725,10.004717123947037,0.14892420513947136,0.8510757948605283,1.7498348095292335,0.0259,3.063786053415214,0.0268,Success,0.0259,0.060024999999999995,TRUE,FALSE,Fruit epiphyte,Site effect: BH-adjusted p < 0.05,No significant dispersion difference
