Sample_Index,NMDS1,NMDS2,Site,Plant,Plant_ID,Compartment
3,-0.8899609801740942,-0.30799460010801916,1,1,1_1,Fruit_EP
5,0.49305358284845174,-0.32953504695252217,1,1,1_1,Leaf_EN
7,1.3550668145559717,-0.08268895119911848,1,1,1_1,Leaf_EP
17,-0.4486806819482895,0.13770116018200604,1,2,1_2,Fruit_EP
19,0.640765144948787,-0.14267183694539126,1,2,1_2,Leaf_EN
21,1.0705722354164788,0.2373304150774361,1,2,1_2,Leaf_EP
31,-0.32536444037299594,-0.09753061363760891,1,3,1_3,Fruit_EP
33,0.5942771406830785,-0.24954038141627075,1,3,1_3,Leaf_EN
35,1.3082915640838029,0.07932105027955043,1,3,1_3,Leaf_EP
43,-0.4900036619184907,-1.156054666721776,1,4,1_4,Fruit_EN
45,-0.9531605343045391,-0.3685545070988655,1,4,1_4,Fruit_EP
47,0.5174106135626196,-0.19828953201715718,1,4,1_4,Leaf_EN
49,1.2641250878259058,-0.0011432633125523883,1,4,1_4,Leaf_EP
57,-0.8738600131291767,-0.5629096063091605,1,5,1_5,Fruit_EN
59,-1.0624799907202045,-0.22345847752679524,1,5,1_5,Fruit_EP
61,0.15028298871005208,-0.1797654566557483,1,5,1_5,Leaf_EN
63,0.6051890626004209,-0.6661055888349434,1,5,1_5,Leaf_EP
71,-0.6603498097193237,-0.5543834293850108,1,6,1_6,Fruit_EN
73,-0.885397861787874,1.0760562203836455,1,6,1_6,Fruit_EP
75,0.5522274111619268,-0.2598347412331577,1,6,1_6,Leaf_EN
77,0.9554665531783619,0.02126987045841532,1,6,1_6,Leaf_EP
85,-0.6923940208135843,-0.7424191549923541,1,7,1_7,Fruit_EN
87,-1.1773761094795745,-0.008200639846937089,1,7,1_7,Fruit_EP
89,0.5601443902639393,-0.00999829094497715,1,7,1_7,Leaf_EN
91,1.2466694619182144,0.10211976831487281,1,7,1_7,Leaf_EP
103,0.40362635981166023,-0.003684716803705766,1,8,1_8,Leaf_EN
105,1.0914400097912769,0.209895519433925,1,8,1_8,Leaf_EP
113,-0.7684540714297409,-0.3568799719374976,1,9,1_9,Fruit_EN
115,-0.5568665548668503,1.0515173480134832,1,9,1_9,Fruit_EP
117,0.629115959116461,-0.4495612851116852,1,9,1_9,Leaf_EN
119,1.16260377291405,0.14442875825015436,1,9,1_9,Leaf_EP
127,-0.7245535565267895,-0.6937937751970144,1,10,1_10,Fruit_EN
129,-1.0209197640854815,-0.406062824321963,1,10,1_10,Fruit_EP
131,0.8090992181676117,-0.18454542539313834,1,10,1_10,Leaf_EN
133,1.3238505790647572,-0.043155537903035245,1,10,1_10,Leaf_EP
141,-0.4159898753996222,-0.7299849367205156,2,1,2_1,Fruit_EN
143,-0.24456260907803754,1.136384444965516,2,1,2_1,Fruit_EP
145,0.2709685733916726,-0.3838098183016423,2,1,2_1,Leaf_EN
147,1.0262106496825913,-0.16395278544667352,2,1,2_1,Leaf_EP
155,-0.2389921118904548,-0.38319912827209646,2,2,2_2,Fruit_EN
157,-1.0816218864733076,-0.4343735380742542,2,2,2_2,Fruit_EP
159,0.15778511911658188,-0.49160653923487574,2,2,2_2,Leaf_EN
161,1.1383426275396704,0.3046546352069633,2,2,2_2,Leaf_EP
169,-0.43217379449781684,-1.2665909903459804,2,3,2_3,Fruit_EN
171,-1.0804919098755679,0.007664943277002252,2,3,2_3,Fruit_EP
173,0.08620004733487902,-0.3292957859611577,2,3,2_3,Leaf_EN
175,0.9295615930974157,0.3354534173326762,2,3,2_3,Leaf_EP
183,0.08737144955118877,-1.740181667204561,2,4,2_4,Fruit_EN
185,-0.9325500243917177,1.5525427396756515,2,4,2_4,Fruit_EP
187,-0.030506599890437486,-0.13711389073836733,2,4,2_4,Leaf_EN
189,0.7395072358061723,0.059621974435951366,2,4,2_4,Leaf_EP
197,-0.5749417519451069,-0.8973459720610426,2,5,2_5,Fruit_EN
199,0.12272426415136677,1.6537126368254995,2,5,2_5,Fruit_EP
201,0.26915672222950643,0.21974195272467073,2,5,2_5,Leaf_EN
203,0.9376415298988828,0.890315802616654,2,5,2_5,Leaf_EP
211,-0.18711233936914531,-1.5643625899620033,2,6,2_6,Fruit_EN
213,-1.6536027869606846,0.9368119051081959,2,6,2_6,Fruit_EP
215,0.17285911138967525,-0.2570370547392222,2,6,2_6,Leaf_EN
217,0.9476646056634833,0.4828910337063846,2,6,2_6,Leaf_EP
225,-0.19048934237768658,-1.4738765408507708,2,7,2_7,Fruit_EN
227,-1.1564015871243254,0.49257109412688155,2,7,2_7,Fruit_EP
229,0.3869194783304288,-0.25578771773852704,2,7,2_7,Leaf_EN
231,0.7916746751805639,0.48007906016297214,2,7,2_7,Leaf_EP
239,-0.8930084280801546,-0.4067608412683825,2,8,2_8,Fruit_EN
241,-0.46025380067444693,0.8975954166052442,2,8,2_8,Fruit_EP
243,0.2056311256815685,-0.6375073946005844,2,8,2_8,Leaf_EN
245,0.9852857625330687,-0.2590806934404293,2,8,2_8,Leaf_EP
253,-0.44199448284925014,-1.0190817510161965,2,9,2_9,Fruit_EN
255,-0.6195346048490606,1.337237310190008,2,9,2_9,Fruit_EP
257,0.07489958172623257,-0.36455150630152167,2,9,2_9,Leaf_EN
259,0.6674927189282738,0.11235421503179996,2,9,2_9,Leaf_EP
267,-1.6651291590704487,1.4704081856674336,2,10,2_10,Fruit_EN
269,-0.6091211990576925,1.397259019762689,2,10,2_10,Fruit_EP
271,0.17976522572356196,-0.39967939857702967,2,10,2_10,Leaf_EN
273,0.9233027220734279,0.6777547969864438,2,10,2_10,Leaf_EP
281,-1.1271762749419683,0.21417384733714717,3,1,3_1,Fruit_EN
283,-0.47776060727226466,-0.023615125765124582,3,1,3_1,Fruit_EP
287,1.1407238804977988,-0.027972176603714243,3,1,3_1,Leaf_EP
