Compartment,Among_Minus_Within,Standard_Error,Degrees_of_Freedom,CI_Lower,CI_Upper,z.ratio,P_Value,P_Adjusted_BH,Significant_BH,Compartment_Label
Soil_1m,0.0606475930789725,0.012728216253529118,Inf,0.0357007476346181,0.0855944385233269,4.764814791872891,1.890271956140792e-6,3.307975923246386e-6,TRUE,Bulk soil (>1 m)
Soil_p,0.06564752241640225,0.012548220452518657,Inf,0.04105346225939679,0.0902415825734077,5.231620106198053,1.680308020189161e-7,3.920718713774709e-7,TRUE,Rhizosphere soil
Root,0.02859555168178962,0.012548220452518665,Inf,0.004001491524784146,0.0531896118387951,2.278853148141014,0.022675796299823223,0.03174611481975251,TRUE,Root epiphyte
Leaf_EN,0.07260137710804015,0.013344937142495518,Inf,0.04644578093279808,0.09875697328328223,5.4403686081704254,5.317044238059754e-8,1.860965483320914e-7,TRUE,Leaf endophyte
Leaf_EP,0.093327142547345407,0.013077728100977029,Inf,0.06769526646982305,0.11895901862486777,7.136342170959572,9.584724315652494e-13,6.709307020956745e-12,TRUE,Leaf epiphyte
Fruit_EN,0.02361225523577503,0.014982963031774599,Inf,-0.0057538126881982316,0.05297832315974829,1.5759402987046127,0.11503956260110061,0.1342128230346174,FALSE,Fruit endophyte
Fruit_EP,0.019396118105161647,0.013648192014279765,Inf,-0.007353846696913857,0.04614608290723715,1.4211492690656733,0.155273369289527,0.155273369289527,FALSE,Fruit epiphyte
