tax_id	species	genus	family	order	class	phylum	superkingdom	605.filtered	61.filtered	1057.filtered	579.filtered	243.filtered	889.filtered	763.filtered	229.filtered	1085.filtered	537.filtered	383.filtered	465.filtered-threshold-0.0001	369.filtered	169.filtered	103.filtered	283.filtered	929.filtered	7.filtered	185.filtered	931.filtered	679.filtered-threshold-0.0001	707.filtered	169.filtered-threshold-0.0001	381.filtered	761.filtered	791.filtered	663.filtered	619.filtered	455.filtered-threshold-0.0001	343.filtered	561.filtered	337.filtered	147.filtered	411.filtered	213.filtered	89.filtered	187.filtered	733.filtered	563.filtered	113.filtered	901.filtered	831.filtered	595.filtered	1113.filtered	633.filtered	355.filtered	635.filtered	525.filtered	425.filtered	201.filtered	133.filtered-threshold-0.0001	157.filtered	873.filtered	255.filtered	159.filtered	875.filtered	227.filtered	455.filtered	721.filtered-threshold-0.0001	119.filtered	691.filtered	273.filtered	77.filtered	567.filtered	143.filtered-threshold-0.0001	329.filtered	131.filtered	281.filtered	719.filtered-threshold-0.0001	437.filtered	309.filtered	7.filtered-threshold-0.0001	547.filtered	985.filtered	315.filtered-threshold-0.0001	535.filtered	269.filtered	45.filtered	693.filtered	241.filtered	231.filtered-threshold-0.0001	943.filtered	481.filtered	761.filtered-threshold-0.0001	73.filtered	1029.filtered	1055.filtered	63.filtered	577.filtered	603.filtered	199.filtered	733.filtered-threshold-0.0001	679.filtered	463.filtered	133.filtered	19.filtered-threshold-0.0001	903.filtered	859.filtered	833.filtered	127.filtered	707.filtered-threshold-0.0001	647.filtered	213.filtered-threshold-0.0001	245.filtered	43.filtered	393.filtered	747.filtered	453.filtered	523.filtered	609.filtered	575.filtered	141.filtered-threshold-0.0001	385.filtered	33.filtered	173.filtered	525.filtered-threshold-0.0001	719.filtered	239.filtered	845.filtered	413.filtered	497.filtered	621.filtered	845.filtered-threshold-0.0001	803.filtered	269.filtered-threshold-0.0001	987.filtered	775.filtered	155.filtered	371.filtered	357.filtered-threshold-0.0001	1001.filtered	87.filtered	1013.filtered	957.filtered	367.filtered	901.filtered-threshold-0.0001	397.filtered	873.filtered-threshold-0.0001	271.filtered	593.filtered	197.filtered	1043.filtered	197.filtered-threshold-0.0001	211.filtered-threshold-0.0001	253.filtered	705.filtered	297.filtered	71.filtered	129.filtered	721.filtered	311.filtered	421.filtered	161.filtered	973.filtered	549.filtered	259.filtered	589.filtered	365.filtered	423.filtered-threshold-0.0001	75.filtered	847.filtered	5.filtered-threshold-0.0001	439.filtered	287.filtered	623.filtered	313.filtered	427.filtered	735.filtered	189.filtered	85.filtered	339.filtered	533.filtered	469.filtered	861.filtered	651.filtered	509.filtered	199.filtered-threshold-0.0001	665.filtered	423.filtered	5.filtered	749.filtered	175.filtered	21.filtered-threshold-0.0001	465.filtered	3.filtered	617.filtered	225.filtered-threshold-0.0001	117.filtered-threshold-0.0001	521.filtered	323.filtered	91.filtered	119.filtered-threshold-0.0001	301.filtered	467.filtered	777.filtered	315.filtered	631.filtered	327.filtered	21.filtered	819.filtered	217.filtered	257.filtered	945.filtered	789.filtered	971.filtered	19.filtered	511.filtered	1041.filtered	1027.filtered	817.filtered	211.filtered	185.filtered-threshold-0.0001	887.filtered	649.filtered	49.filtered	441.filtered	581.filtered	267.filtered	763.filtered-threshold-0.0001	267.filtered-threshold-0.0001	421.filtered-threshold-0.0001	1015.filtered	637.filtered	295.filtered-threshold-0.0001	435.filtered	519.filtered	805.filtered	565.filtered	507.filtered	225.filtered	145.filtered	479.filtered	449.filtered	183.filtered-threshold-0.0001	395.filtered	57.filtered	589.filtered-threshold-0.0001	175.filtered-threshold-0.0001	115.filtered	495.filtered	59.filtered	353.filtered	505.filtered	607.filtered	591.filtered	999.filtered	379.filtered	915.filtered	917.filtered	1071.filtered	47.filtered	1097.filtered	171.filtered	35.filtered	273.filtered-threshold-0.0001	749.filtered-threshold-0.0001	141.filtered	1111.filtered	959.filtered	17.filtered	451.filtered	351.filtered	203.filtered	295.filtered	493.filtered	491.filtered	929.filtered-threshold-0.0001	469.filtered-threshold-0.0001	677.filtered	215.filtered	143.filtered	539.filtered	693.filtered-threshold-0.0001	31.filtered	483.filtered	357.filtered	325.filtered	231.filtered	183.filtered	1083.filtered	341.filtered	1069.filtered	105.filtered	117.filtered
1008153	Halalkalicoccus paucihalophilus	Halalkalicoccus	Halobacteriaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea														0.0027708973595712									0.0027649514158769																																																																							0.0007706560414514		0.0001405244093299										0.0010853201694499																					0.0003148856427507		0.0005448511565704																0.0006512256298313					6.629456170740575e-05		0.0001070126099545										0.0002811197596673									0.0003817108547394									0.0002831126883985											0.000119645848289								9.375922080572265e-05							0.0001418339972239															0.0001057478981069																											0.0004936115222031																																				
1008392	Chitinispirillum alkaliphilum	Chitinispirillum	Chitinispirillaceae	Chitinispirillales	Chitinispirillia	Fibrobacteres	Bacteria							0.0003139008098791											0.0009173672663347																																	0.0007140837531121							8.627486003856195e-05	0.0001778198190636			0.0002846838316496										0.000918305980132							0.0002443790234436																0.0007133324800469																																																							0.0001646029614952																															0.0001852629825805		0.0005311684183705					0.0002467409145797			0.0007702182600269								0.0005316140004866																				0.0003262362631883																																			0.0008194488946079	0.0002840569130303	0.0002103032185052																	0.0002547853668668										0.0005260986181153	0.0002460299055241
1010	Sphingobacterium mizutaii	Sphingobacterium	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria															0.0003714492385292																																																																																																																																																																																																																																																																													
1016987	Novosphingobium sp. THN1	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria					0.0003685688502162			0.0002550356896224					0.0004145600316226	0.0002791290835557			0.0001959922674627						0.0003020304576777													0.0003129277673258														0.0003058671732999			0.0002020090498748																0.0002043290142213													0.0003301979968093														0.0002635641201987									0.0005327521623562							0.0003374838565245		0.0002276660965152			0.0001956977724703		0.0001496876921962				0.0001507392935347															0.0002046498076399	0.0004384993641554		0.0004314000240642		0.0004335839596823	0.0001669334313751	0.0002837925781307																	0.0002129336177042										0.0006118421829771								0.0002132592452123							0.0001195115495568	0.0001140270401202										0.0003401873295143				0.0004807704268803				0.0002507321028845		0.0003455213638596			0.0001603670877753															0.0004055902348699				0.0001175344712869																											0.0003330107017877										0.0002009253878872												8.134835276597617e-05					0.0001146866093883
1016997	Polycladomyces subterraneus	Polycladomyces	Thermoactinomycetaceae	Bacillales	Bacilli	Firmicutes	Bacteria																																																																																																																																																																		0.0001895444372352																		0.000189366351056																																																																																																								
1017177	Gluconacetobacter tumulicola	Gluconacetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria																													0.0001399110959796																													0.0001282869736696																																																																																																																																																																																																																																		
1017181	Gluconacetobacter asukensis	Gluconacetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria								0.0001485884266948																																																																																																																																																																																																																																																																																				
102116	Stanieria cyanosphaera	Stanieria	Dermocarpellaceae	Pleurocapsales		Cyanobacteria	Bacteria																		0.0001564933549993																																																						0.0001666150443301																																																																																																																							0.0001487781394348																																																																																													
102684	Streptococcus infantarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria																																																																																		0.0002698327037236																																																																																																																											0.0001597495127639																																																																															
1030157	Sphingomonas sp. KC8	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria																																																		0.0001649144845864																			0.0001030417838052																																																0.0001029219832229																																																																																																																																																									0.0002871608781443														
1031538	Neptunomonas concharum	Neptunomonas	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria																																																																																																																																																																																																																										5.733693811714217e-05																																																																		
1031541	Tropicimonas sediminicola	Tropicimonas	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria													0.000238995350454																																																																																																																																																					0.0001458034132579																		0.0001456664238892																																																																																																								
1033741	Microvirga massiliensis	Microvirga	Methylobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																															7.193903621502317e-05																																																																																																																																																											0.0001377652896271																																													0.0001376273068743					
1034346	Dielma fastidiosa	Dielma	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria																																																															0.0014577259475218																																																																																																																																																																																																																													
