Compartment,Among_Minus_Within,Standard_Error,Degrees_of_Freedom,CI_Lower,CI_Upper,z.ratio,P_Value,P_Adjusted_BH,Significant_BH,Compartment_Label
Soil_1m,0.0758298100506416,0.01736124030206638,Inf,0.04180240433164622,0.10985721576963697,4.36776455663805,1.255247024704482e-5,2.928909724310458e-5,TRUE,Bulk soil (>1 m)
Soil_p,0.09367821541374208,0.017361240302066473,Inf,0.059650809694746516,0.12770562113273765,5.3958250553442175,6.82093831140138e-8,4.774656817980966e-7,TRUE,Rhizosphere soil
Root,0.05925925346262351,0.01736124030206648,Inf,0.025231847743627932,0.09328665918161907,3.4133075996632556,6.417945796734397e-4,8.985124115428155e-4,TRUE,Root
Leaf_EN,0.07889232907774187,0.017361240302066473,Inf,0.044864923358746304,0.11291973479673742,4.544164339937826,5.5153616916446105e-6,1.9303765920756138e-5,TRUE,Leaf endophyte
Leaf_EP,0.06409457015922423,0.017361240302066462,Inf,0.030067164440228694,0.09812197587821977,3.6918197688672754,2.2265522969351157e-4,3.8964665196364524e-4,TRUE,Leaf epiphyte
Fruit_EN,0.01830122416008434,0.017361240302066462,Inf,-0.0157261815589112,0.05232862987907988,1.0541426673246377,0.29181760414165314,0.34045387149859535,FALSE,Fruit endophyte
Fruit_EP,0.002633503653162006,0.01736124030206647,Inf,-0.03139390206583355,0.03666090937215756,0.15168868164612329,0.879432484603891,0.879432484603891,FALSE,Fruit epiphyte
