Site_1,Site_2,Same_Site,Plant_1,Plant_2,Plant_1_ID,Plant_2_ID,Pair,Soil_1m,Soil_p,Root,Leaf_EN,Leaf_EP,Fruit_EN,Fruit_EP
1,1,TRUE,4,5,1_4,1_5,1_4 vs 1_5,0.27720180253982857,0.7690955125916527,0.3649567038279037,0.32633898642272835,0.39005196008958076,0.6836511924463834,0.2438168438988425
1,1,TRUE,4,6,1_4,1_6,1_4 vs 1_6,0.26083569636215953,0.22631405224942772,0.3202425462646439,0.24620678121488382,0.32619764991696365,0.6314005517917841,0.9093329947409439
1,1,TRUE,4,7,1_4,1_7,1_4 vs 1_7,0.2910988795155087,0.30652331464175914,0.632340691389151,0.31768485608728464,0.18788638518691467,0.4469253743439013,0.49337349177259404
1,1,TRUE,4,9,1_4,1_9,1_4 vs 1_9,0.5189372987405627,0.28299851778147084,0.35915058369215763,0.3807025706961742,0.3897705772195697,0.7773974158701249,0.8969470062448125
1,1,TRUE,4,10,1_4,1_10,1_4 vs 1_10,0.29274838605109843,0.3960406719094226,0.537304267501551,0.31433185448926854,0.20104233620678344,0.5080840789662645,0.19065943934064075
1,2,FALSE,4,1,1_4,2_1,1_4 vs 2_1,0.2889441811162795,0.2796915828306606,0.43630096096744603,0.4897113613190886,0.525434106643684,0.45833261655522217,0.9252382038673934
1,2,FALSE,4,2,1_4,2_2,1_4 vs 2_2,0.2736628892753303,0.41693172042397586,0.40811975168231085,0.5849758685275032,0.6992360932705973,0.6371650408784112,0.3441948897541594
1,2,FALSE,4,3,1_4,2_3,1_4 vs 2_3,0.2664112642594709,0.410726315651365,0.36009937863364966,0.46958065683120576,0.5622665405779121,0.13736581188178162,0.5346279627666415
1,2,FALSE,4,4,1_4,2_4,1_4 vs 2_4,0.24795169362923047,0.2624223185837921,0.3049084892260553,0.5131380276180071,0.40366487910503046,0.8376675262674995,0.9611050059603767
1,2,FALSE,4,5,1_4,2_5,1_4 vs 2_5,0.426646180490788,0.2856203517096672,0.32545477123958383,0.5786016138396524,0.8236913466757749,0.38648283026772273,0.9445782797439103
1,2,FALSE,4,6,1_4,2_6,1_4 vs 2_6,0.31177746564310094,0.2996088763465158,0.3554233326428975,0.4509667541306116,0.5728065191585644,0.7773519939013324,0.9651524200683101
